	Товары:
Id		Товар
1		Кофе
2		Чай
3		Гречка

	Цены:
Id		Товар_id			Цена			Дата
1		1				80			02.05.2023
2		2				65			08.07.2023
3		3				42			24.03.2023
4		1				130			03.02.2024
5		3				65			21.12.2023
6		2				86			17.01.2024

	Поставка_товаров:
Id		Товар_id			Цена_id		Количество
1		2				2			365
2		3				5			43
3		3				3			58
4		1				4			572
5		2				6			270
6		1				1			472

	Продажа_товаров:
Id		Товар_id			Цена_id		Количество
1		1				1			387
2		3				3			21
3		1				4			276
4		1				4			312
5		2				2			291
6		2				6			234
7		3				5			11
8		3				5			36
